text,label
"Titre: HACKATHON DES DEVS DU GRAND NORD DU CAMEROUN (EDITION 1). Theme: Le numerique au service de la sante. Regles: Presenter le probleme la solution et la demo. Description: Defis de distances et information medicale dans le Grand Nord. Probleme(s) a resoudre: Femmes enceintes sans suivi prenatal pauvrete et eloignement. Solution proposee: Outil numerique local de gestion du suivi maternel. Particularite de la solution: Fonctionnement local sans internet adapte aux ressources limitees.",1
"Titre: HACKATHON DES DEVS DU GRAND NORD DU CAMEROUN (EDITION 1). Theme: Le numerique au service de la sante. Regles: Presenter le probleme la solution et la demo. Description: Defis de distances et information medicale dans le Grand Nord. Probleme(s) a resoudre: Difficultes d acces rapide aux urgences. Solution proposee: Application mobile de dossier patient numerique et alerte geolocalisee. Particularite de la solution: Geolocalisation en temps reel et scan de carnet physique.",1
"Titre: HACKATHON DES DEVS DU GRAND NORD DU CAMEROUN (EDITION 1). Theme: Le numerique au service de la sante. Regles: Presenter le probleme la solution et la demo. Description: Defis de distances et information medicale dans le Grand Nord. Probleme(s) a resoudre: Services de proximite artisans informels et desorganises. Solution proposee: PROXIVO infrastructure numerique locale de mise en relation. Particularite de la solution: Optimisation zone faible connexion et paiement Mobile Money.",0
"Titre: HACKATHON DES DEVS DU GRAND NORD DU CAMEROUN (EDITION 1). Theme: Le numerique au service de la sante. Regles: Presenter le probleme la solution et la demo. Description: Defis de distances et information medicale dans le Grand Nord. Probleme(s) a resoudre: Banques de sang en rupture de stock. Solution proposee: Plateforme de gestion de stock en temps reel et alertes SMS. Particularite de la solution: Matching intelligent et IA de prediction de penurie.",1
"Titre: HACKATHON DES DEVS DU GRAND NORD DU CAMEROUN (EDITION 1). Theme: Le numerique au service de la sante. Regles: Presenter le probleme la solution et la demo. Description: Defis de distances et information medicale dans le Grand Nord. Probleme(s) a resoudre: Perte ou degradation des carnets de sante physiques. Solution proposee: Carnet de sante numerique via QR Code. Particularite de la solution: Mode bas debit et synchronisation offline.",1
"Titre: DevsFest. Theme: IA. Solution: Recette de cuisine pour faire un gateau.",0
"Titre: DevsFest. Theme: IA. Solution: Comment gagner au loto facilement.",0
"Titre: DevsFest. Theme: IA. Solution: Resultat du match Real Madrid contre Barcelone.",0
"Titre: DevsFest. Theme: IA. Solution: Biographie de Michael Jackson.",0
"Titre: DevsFest. Theme: IA. Solution: Meilleur joueur de foot Messi ou Ronaldo.",0
"Titre: Orange. Theme: Climat. Solution: Reparation de moteur de voiture essence.",0
"Titre: Hackathon de orange. Theme: Climate Change Challenge. Description: Solutions numeriques pour lutter contre le rechauffement climatique. Le defi: Developper un modele macro economique d economie circulaire. La solution: Diwo application geolocalisante pour rejoindre des structures d autoproduction.",1
"Titre: Hackathon de orange. Theme: Climate Change Challenge. Description: Solutions numeriques pour lutter contre le rechauffement climatique. Le defi: Enseigner le changement climatique sur un mode pedagogique. La solution: GreenFabZ application de sensibilisation aux actions eco-responsables ludiques.",1
"Titre: Hackathon de orange. Theme: Climate Change Challenge. Description: Solutions numeriques pour lutter contre le rechauffement climatique. Le defi: Enseigner le changement climatique sur un mode pedagogique. La solution: Chaud Climat Chaud chaine YouTube dediee aux enjeux climatiques pour jeunes.",1
"Titre: Hackathon de orange. Theme: Climate Change Challenge. Description: Solutions numeriques pour lutter contre le rechauffement climatique. Le defi: Enseigner le changement climatique sur un mode pedagogique. La solution: Plan Banane application de partage de pratiques eco-responsables.",1
